,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
465817,1861,1292,4,974698277,M,50,16,92129,Being There (1979),Comedy,False
891701,2164,2517,3,974615101,M,35,0,95826,Christine (1983),Horror,False
374359,5184,253,3,965111286,M,18,20,67212,Interview with the Vampire (1994),Drama|Horror,False
528166,5002,2011,2,962594232,M,25,17,90505,Back to the Future Part II (1989),Comedy|Sci-Fi,False
806700,4661,2208,4,963867401,M,45,15,85255,"Lady Vanishes, The (1938)",Comedy|Mystery|Romance|Thriller,False
254290,1155,377,3,974865842,M,25,12,90278,Speed (1994),Action|Romance|Thriller,False
628889,2941,3375,4,971350771,M,35,12,98033,Destination Moon (1950),Sci-Fi,False
651848,2097,2985,3,974735719,M,18,5,48504,Robocop (1987),Action|Crime|Sci-Fi,False
679499,1543,546,3,974743505,M,25,11,10549,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi,False
587652,2849,2572,3,1002669176,M,45,11,94114,10 Things I Hate About You (1999),Comedy|Romance,False
351257,624,474,5,976575307,M,25,1,75207,In the Line of Fire (1993),Action|Thriller,False
592247,38,141,3,978045807,F,18,4,02215,"Birdcage, The (1996)",Comedy,False
416870,1726,1233,5,974710000,M,25,2,60160,"Boat, The (Das Boot) (1981)",Action|Drama|War,False
934296,5151,2519,1,961986324,M,18,19,30662,House on Haunted Hill (1958),Horror,False
570166,1228,3182,3,975353311,M,25,1,94720,Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999),Documentary,False
552679,3756,208,5,966100834,M,18,12,53188,Waterworld (1995),Action|Adventure,False
950785,5788,3840,2,966204284,M,25,0,92646,Pumpkinhead (1988),Horror,False
877853,4323,170,3,965250348,M,18,4,82072,Hackers (1995),Action|Crime|Thriller,False
805718,1741,3949,4,974711351,M,35,7,91107,Requiem for a Dream (2000),Drama,False
642571,4021,2377,4,965520687,M,50,20,95236,Lifeforce (1985),Horror|Sci-Fi,False
321660,685,357,3,975602660,M,25,4,27514,Four Weddings and a Funeral (1994),Comedy|Romance,False
64310,4825,648,3,962913938,M,25,17,94602,Mission: Impossible (1996),Action|Adventure|Mystery,False
588919,4867,3033,2,1002672323,M,25,16,04101,Spaceballs (1987),Comedy|Sci-Fi,False
